user_id,visit_time
319350b4-9951-47ef-b3a7-6b252099905f,2017-02-21 07:16:00
7435ec9f-576d-4ebd-8791-361b128fca77,2017-05-16 08:37:00
0b061e73-f709-42fa-8d1a-5f68176ff154,2017-04-12 19:32:00
9133d6f0-e68b-4c8d-bafd-ff2825e8dafe,2017-08-18 04:32:00
08d13edb-071c-4cfb-9ee4-8f377d0e932a,2017-07-08 06:24:00
c7192ab9-e033-4b69-971d-4bd92631342e,2017-10-05 09:16:00
c4dac0f2-2fa9-48a8-b056-c3b2a5a5c683,2017-07-09 14:19:00
f028e9dd-77d0-4002-83f6-372a4837fda6,2017-10-27 08:46:00
e43cf28f-7d08-4019-bd66-ddf7dfd2e034,2017-11-12 01:47:00
746631d2-35d5-441e-a21b-e5f39442f981,2017-06-19 23:34:00
a0fc94a2-4a80-4a33-994b-75783066ac62,2017-05-11 13:07:00
e2c24ee0-7fdf-4400-abde-b36378fe5ce6,2017-07-04 15:33:00
78751233-c0de-44fb-bc2f-822bd9dd9be7,2017-01-23 05:38:00
fbcec4bc-f191-4c0c-870b-d22728ad1b18,2017-01-24 17:41:00
e6c7ecb9-4710-4cbd-ad02-c43971ebbe7f,2017-09-27 16:10:00
0c682ddd-144a-4743-9c82-dbd942fdea52,2017-08-15 23:38:00
fe07fc99-3943-4000-99a5-422957a42ea1,2017-10-07 15:08:00
bb6d2daf-bcf2-4970-b45d-33402cc1c45d,2017-07-04 21:22:00
ad7a3539-ad48-4b0e-bcc3-8c0dff722908,2017-06-13 08:28:00
10dbd3c5-d610-44e9-9994-110a7950b6b4,2017-08-09 21:01:00
9e744240-18e8-4da0-9e05-89b116245c15,2017-11-02 20:01:00
b2b04aa6-3ef1-46d6-939b-215126b4b91b,2017-05-03 13:15:00
f8123e12-d349-4efe-ae65-9494630bee6c,2017-02-22 13:16:00
6aee3eda-65f2-437f-88b2-cf7e2b94fcdc,2017-10-17 10:17:00
ee9f8ae4-5450-4c92-ae54-edd44cd0482e,2017-05-12 14:29:00
0d798d59-fb81-40ae-8ab1-d4beaffe8715,2017-01-18 17:26:00
f5f90dcf-15a0-432b-9886-9e4b5907a1cc,2017-07-10 11:39:00
c54a72a7-42db-4d19-b897-944f37cf386d,2017-01-02 17:20:00
d7a50dcf-e6d7-44af-87a7-9cc68f303ece,2017-11-05 08:15:00
65599d0d-76c2-4ad4-a717-70f12a187f1a,2017-02-15 07:21:00
857a4d3b-9289-4f5e-b231-a6906d199dd9,2017-04-16 18:13:00
0ad695ac-f664-4691-a694-be021c0ac43b,2017-02-09 21:45:00
31f1be0d-4502-4616-a7d6-a90163b8bb54,2017-11-11 03:51:00
62173c69-bec8-4a5d-951c-b860df94adc2,2017-05-03 23:39:00
147d51cd-95d7-48f7-871d-112e7e7f47fb,2017-06-09 13:43:00
9b7e1ff6-2bf1-469b-9663-3cabeb3de8f4,2017-04-25 21:42:00
05867e4e-debc-4702-b776-d5391c526e79,2017-04-02 09:40:00
