Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,16.32,16.32,15.88,16.07,15.36233,1697200
2019-01-03,16.049999,16.9,15.93,16.75,16.012386,2283900
2019-01-04,16.809999,17.34,16.67,17.290001,16.528606,2635900
2019-01-07,17.34,17.77,17.27,17.66,16.882313,1858700
2019-01-08,17.85,18.389999,17.6,18.23,17.427212,2241700
2019-01-09,18.280001,18.370001,17.91,18.33,17.522808,1790700
2019-01-10,18.309999,18.379999,17.969999,18.32,17.513248,2171700
2019-01-11,18.299999,18.41,18.18,18.23,17.427212,890100
2019-01-14,18.18,18.23,17.790001,18.059999,17.264698,1161400
2019-01-15,18.049999,18.379999,18.049999,18.219999,17.417652,1157100
2019-01-16,18.209999,18.75,18.209999,18.67,17.847836,1248500
2019-01-17,18.65,18.969999,18.469999,18.940001,18.105947,1669000
2019-01-18,18.950001,19.24,18.879999,19.190001,18.344938,1512100
2019-01-22,19.190001,19.299999,18.639999,19.15,18.306698,1836200
2019-01-23,19.15,19.35,19.059999,19.35,18.497892,1176000
2019-01-24,19.35,19.68,19.17,19.639999,18.77512,1785800
2019-01-25,19.67,20.08,19.67,19.969999,19.09059,1317700
2019-01-28,19.9,20.469999,19.860001,20.280001,19.386936,1921100
2019-01-29,20.27,20.41,20.09,20.27,19.377378,2690600
2019-01-30,20.299999,20.620001,20.049999,20.459999,19.55901,2198300
2019-01-31,20.440001,20.6,20.209999,20.540001,19.635489,1658000
2019-02-01,20.629999,20.700001,20.02,20.32,19.425177,1490600
2019-02-04,20.32,20.58,20.049999,20.57,19.664167,973500
2019-02-05,20.610001,20.690001,20.360001,20.440001,19.539892,1147500
2019-02-06,20.469999,20.58,20.200001,20.540001,19.635489,1431500
2019-02-07,20.459999,20.74,20.110001,20.719999,19.80756,1559900
2019-02-08,20.66,20.790001,20.33,20.559999,19.654606,874600
2019-02-11,20.57,20.790001,20.51,20.51,19.60681,1479200
2019-02-12,20.5,20.540001,19.98,20.25,19.358257,1768300
2019-02-13,20.26,20.42,20.120001,20.219999,19.32958,1310400
2019-02-14,19.83,19.940001,19.65,19.780001,19.339357,1180800
2019-02-15,19.85,20.129999,19.780001,19.99,19.544678,1688200
2019-02-19,19.959999,20.07,19.799999,19.83,19.388243,1490500
2019-02-20,19.83,19.84,19.379999,19.68,19.241585,1228100
2019-02-21,19.639999,19.73,19.43,19.66,19.222029,1147200
2019-02-22,19.700001,19.93,19.540001,19.58,19.143812,1803900
2019-02-25,19.549999,19.65,18.74,19.059999,18.635395,4150900
2019-02-26,18.620001,18.950001,18.6,18.799999,18.381187,3117100
2019-02-27,18.75,18.860001,18.290001,18.450001,18.038986,2897700
2019-02-28,18.450001,18.5,18.120001,18.120001,17.716337,3056000
2019-03-01,18.219999,18.219999,17.59,17.709999,17.31547,5039400
2019-03-04,17.77,17.85,17.360001,17.639999,17.247028,2701100
2019-03-05,17.620001,17.860001,17.530001,17.65,17.256807,986300
2019-03-06,17.690001,17.85,17.43,17.540001,17.149258,3416900
2019-03-07,17.48,17.67,17.450001,17.51,17.119926,2819400
2019-03-08,17.459999,17.629999,17.309999,17.459999,17.071039,2007600
2019-03-11,17.49,17.790001,17.450001,17.780001,17.383911,2316600
2019-03-12,17.83,18.1,17.83,18.01,17.608788,2263700
2019-03-13,18.059999,18.370001,18.059999,18.35,17.941214,1530100
2019-03-14,18.389999,18.530001,18.309999,18.379999,17.970543,1640700
2019-03-15,18.389999,18.450001,18.219999,18.299999,17.892326,3105400
2019-03-18,18.42,18.469999,17.93,18.129999,17.726112,1866500
2019-03-19,18.129999,18.25,17.99,18.17,17.765223,1563600
2019-03-20,18.18,18.52,18.110001,18.389999,17.980322,2247600
2019-03-21,18.34,19.1,18.299999,19.01,18.58651,2386600
2019-03-22,19,19.110001,18.629999,18.709999,18.293192,1966000
2019-03-25,18.65,18.9,18.469999,18.870001,18.449629,1365800
2019-03-26,18.879999,19.200001,18.870001,19.190001,18.762501,1424900
2019-03-27,19.209999,19.4,19.08,19.299999,18.870049,2044800
2019-03-28,19.33,19.639999,19.290001,19.629999,19.192698,3194300
2019-03-29,19.66,19.76,19.4,19.469999,19.036261,4230300
2019-04-01,19.629999,19.629999,19.110001,19.33,18.899382,2422400
2019-04-02,19.35,19.42,19.030001,19.309999,18.879826,1921800
2019-04-03,19.379999,19.379999,19.09,19.120001,18.694059,1437600
2019-04-04,19.16,19.25,19.040001,19.190001,18.762501,1045200
2019-04-05,19.23,19.41,19.15,19.389999,18.958044,1893600
2019-04-08,19.33,19.43,19.110001,19.299999,18.870049,1011400
2019-04-09,19.309999,19.309999,19.129999,19.23,18.801609,1751600
2019-04-10,19.35,19.52,19.26,19.48,19.04604,1271000
2019-04-11,19.51,19.68,19.389999,19.68,19.241585,1253800
2019-04-12,19.68,19.700001,19.450001,19.68,19.241585,949800
2019-04-15,19.74,19.77,19.52,19.66,19.222029,750900
