season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
winter,1,0,6,0,mist,8.175849,7.99925,80.58330000000001,10.749882,985
winter,1,0,0,0,mist,9.083466000000001,7.3467740000000035,69.6087,16.652113,801
winter,1,0,1,1,clear,1.229108,-3.499270000000001,43.7273,16.636703,1349
winter,1,0,2,1,clear,1.4000000000000004,-1.9999479999999998,59.0435,10.739832,1562
winter,1,0,3,1,clear,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001,1600
winter,1,0,4,1,clear,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684,1606
winter,1,0,5,1,mist,1.2365340000000007,-2.2166259999999998,49.8696,11.304642,1510
winter,1,0,6,0,mist,-0.24499999999999922,-5.291236,53.5833,17.875868,959
winter,1,0,0,0,clear,-1.4983489999999993,-8.33245,43.416700000000006,24.25065,822
winter,1,0,1,1,clear,-0.9108490000000007,-6.041392,48.2917,14.958889,1321
winter,1,0,2,1,mist,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001,1263
winter,1,0,3,1,clear,0.11816899999999997,-5.408782,59.954499999999996,20.410009,1162
winter,1,0,4,1,clear,-0.24499999999999922,-6.041722,47.0417,20.166999999999998,1406
winter,1,0,5,1,clear,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716,1421
winter,1,0,6,0,mist,2.9666510000000006,0.3753920000000015,49.875,10.583521,1248
winter,1,0,0,0,clear,2.888349,-0.5416779999999992,48.375,12.625010999999999,1204
winter,1,1,1,0,mist,0.264151,-4.333113999999998,53.75,12.999139,1000
winter,1,0,2,1,mist,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.833924999999999,683
winter,1,0,3,1,mist,5.732177999999999,3.695852000000002,74.1739,13.957239,1650
winter,1,0,4,1,mist,4.298349,0.8333000000000013,53.833299999999994,13.125568,1927
winter,1,0,5,1,clear,0.34249999999999936,-5.583022,45.7083,23.667214,1543
winter,1,0,6,0,clear,-5.2208711999999995,-10.7814064,40.0,11.52199,981
winter,1,0,0,0,clear,-3.4634801,-9.4766194,43.6522,16.5222,986
winter,1,0,1,1,clear,-3.4226089,-8.21662,49.173899999999996,10.60811,1416
winter,1,0,2,1,mist,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.696332,1985
winter,1,0,3,1,light precip,2.2225,-2.5624000000000002,86.25,19.68795,506
winter,1,0,4,1,clear,1.165000000000001,-1.4998000000000005,68.75,7.627078999999999,431
winter,1,0,5,1,mist,1.563466,-1.2610780000000013,79.30430000000001,8.2611,1167
winter,1,0,6,0,clear,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.739455,1098
winter,1,0,0,0,clear,2.176534,0.5212520000000005,72.2174,4.956834199999999,1096
winter,1,0,1,1,mist,0.49915099999999946,-3.7074999999999996,60.375,12.541864,1501
winter,2,0,2,1,mist,1.032178,-0.52102,82.9565,3.565271,1360
winter,2,0,3,1,mist,4.220000000000001,0.7915220000000005,77.5417,17.708636,1526
winter,2,0,4,1,clear,0.7869790000000005,-4.260052,43.7826,18.609384,1550
winter,2,0,5,1,mist,1.9312880000000003,-0.913257999999999,58.521699999999996,8.565213,1708
winter,2,0,6,0,mist,2.9666510000000006,0.041827999999998866,92.91669999999999,10.792293,1005
winter,2,0,0,0,clear,5.434151,3.2502860000000027,56.833299999999994,9.5006,1623
winter,2,0,1,1,clear,4.768348999999999,4.041428,73.83330000000001,3.0423561,1712
winter,2,0,2,1,clear,2.3791510000000002,-2.9157639999999994,53.7917,24.25065,1530
winter,2,0,3,1,mist,-1.6651990000000003,-6.477322000000001,49.4783,12.652213,1605
winter,2,0,4,1,clear,-1.2156440000000002,-6.129832,43.7391,14.869645,1538
winter,2,0,5,1,clear,0.887277000000001,-1.9084059999999994,50.6364,7.272849999999999,1746
winter,2,0,6,0,clear,2.4574999999999996,-0.6250359999999997,54.4167,13.625589,1472
winter,2,0,0,0,clear,6.876534000000001,5.391458,45.7391,17.479160999999998,1589
winter,2,0,1,1,clear,11.504999999999999,10.2911,37.583299999999994,27.999836,1913
winter,2,0,2,1,clear,4.506089000000001,0.7820840000000011,31.434800000000003,19.522058,1815
winter,2,0,3,1,clear,6.958267000000001,4.869199999999999,42.3478,16.869996999999998,2115
winter,2,0,4,1,clear,12.484151,12.291428,50.5,15.416968,2475
winter,2,0,5,1,clear,16.518349,17.790878,51.6667,17.749975000000003,2927
winter,2,0,6,0,clear,10.760849,9.832663999999998,18.7917,34.000021,1635
